Name,Latitude,Longitude,lfd# Nr#,Stadtteil,Anzahl_beh,ort,Straße,Art,Abfuhrtag,Woche-g-ug,Telefon,Zeitbedarf
Papierkorb 200000402,51.41055037,6.584027857,1139,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001443,51.41388008,6.583538186,1140,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001526,51.40912285,6.591295972,1141,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001439,51.41414646,6.58943519,1142,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001440,51.41527005,6.589190606,1143,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001441,51.41563886,6.589281969,1144,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001436,51.42117812,6.585614551,1145,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000399,51.41945011,6.591256745,1146,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001432,51.4212601,6.588204056,1147,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001433,51.4211679,6.588633545,1148,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001434,51.42098693,6.588387201,1149,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001435,51.42090152,6.588645028,1150,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001437,51.42043029,6.588135744,1151,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001438,51.42075132,6.588340262,1152,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001442,51.42075811,6.588757345,1153,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001430,51.42186804,6.588427769,1154,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001431,51.42258176,6.588049075,1155,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000601,51.47922792,6.584357852,1156,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000605,51.47161908,6.591730574,1157,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000606,51.47160206,6.591788242,1158,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000602,51.47904695,6.588112274,1159,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000072,51.4902792,6.572217587,1160,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000070,51.4864884,6.589001091,1161,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000071,51.48623569,6.589025818,1162,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000068,51.48953808,6.591559835,1163,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000069,51.48918293,6.588444868,1164,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000435,51.48936734,6.590636065,1165,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000436,51.48910096,6.588473031,1166,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000437,51.49044994,6.586992955,1167,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000438,51.49082218,6.586709563,1168,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000439,51.49065823,6.586735966,1169,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000417,51.49748161,6.590841757,1170,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001476,51.40488815,6.60016587,1171,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001445,51.40803345,6.595880371,1172,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001446,51.40809154,6.595680965,1173,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001447,51.40809154,6.59616896,1174,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001448,51.40818031,6.595925633,1175,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001449,51.40824175,6.59592689,1176,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001450,51.40770899,6.595777022,1177,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001451,51.40768175,6.596020348,1178,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001478,51.40791737,6.596267531,1179,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001525,51.41023966,6.595593877,1180,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001532,51.40901363,6.593981953,1181,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001533,51.40877115,6.593706189,1182,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000397,51.41434117,6.594382357,1183,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000398,51.41535882,6.594323935,1184,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000400,51.41101146,6.593965357,1185,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000401,51.41111045,6.593003953,1186,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001481,51.41478851,6.596717052,1187,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001482,51.41449825,6.596367862,1188,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001483,51.41439917,6.596624432,1189,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001499,51.41160909,6.597134974,1190,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001516,51.41477142,6.596342633,1191,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001517,51.41478851,6.594891222,1192,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001518,51.4141328,6.594710257,1193,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000403,51.40624057,6.599896057,1194,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000407,51.40593999,6.600797195,1195,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000408,51.40861742,6.597441081,1196,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001479,51.40768175,6.597500844,1197,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001480,51.40770899,6.597745009,1198,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001519,51.41042062,6.600295622,1199,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001521,51.41031132,6.599934949,1200,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001522,51.41026011,6.599044036,1201,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001484,51.41373667,6.601633038,1202,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001485,51.4137469,6.600369047,1203,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001486,51.4133371,6.602489417,1204,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001487,51.41240135,6.599746691,1205,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001488,51.41252775,6.59997887,1206,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001489,51.41296143,6.600127481,1207,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001490,51.41301951,6.599697992,1208,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001491,51.41228182,6.602132097,1209,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001492,51.41239112,6.602707934,1210,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001493,51.41281801,6.602598717,1211,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001494,51.41206666,6.600690912,1212,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001495,51.41221016,6.600319929,1213,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001496,51.41193012,6.598102329,1214,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001497,51.41222038,6.598278182,1215,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001498,51.41153055,6.597780883,1216,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001500,51.41165008,6.59779706,1217,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001501,51.41177296,6.597467903,1218,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001502,51.41108656,6.598464679,1219,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001503,51.4113495,6.59823929,1220,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001504,51.41148269,6.598872794,1221,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001505,51.41149635,6.598584708,1222,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001506,51.4113495,6.598080117,1223,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001507,51.41091918,6.600474911,1224,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001508,51.4112402,6.600421602,1225,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001520,51.41073142,6.60052998,1226,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001523,51.41097726,6.598261921,1227,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001524,51.410687,6.598789562,1228,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000406,51.40192389,6.603072546,1229,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000413,51.40100858,6.602931647,1230,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001509,51.41042062,6.602954697,1231,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001465,51.41488759,6.605817452,1232,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001466,51.41521197,6.607329883,1233,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001467,51.41592912,6.60909377,1234,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000410,51.39625135,6.617970038,1235,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000412,51.39652116,6.6170689,1236,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000404,51.40365869,6.617739955,1237,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000405,51.40373044,6.617783876,1238,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000411,51.39576989,6.623207889,1239,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001322,51.39806821,6.622290574,1240,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001323,51.39885024,6.622890718,1241,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001471,51.39737838,6.62147644,1242,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001472,51.39753889,6.621636953,1243,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001473,51.39861463,6.622603051,1244,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001474,51.39870004,6.622111285,1245,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001468,51.40936878,6.616408071,1246,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001469,51.40920826,6.617009975,1247,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001470,51.40915018,6.617224719,1248,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000409,51.3954181,6.624970939,1249,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000415,51.39493656,6.630021874,1250,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001316,51.39586888,6.629545949,1251,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001317,51.39719733,6.626532068,1252,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001320,51.39770284,6.628235355,1253,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001321,51.39764132,6.629168093,1254,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001318,51.39964937,6.625415348,1255,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001319,51.39970067,6.62544569,1256,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000414,51.39469751,6.630794099,1257,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001311,51.39429116,6.63524271,1258,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001312,51.39585178,6.633095015,1259,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001313,51.39580744,6.633382346,1260,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001314,51.4000626,6.632406022,1261,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001315,51.40013091,6.632435108,1262,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001294,51.40665715,6.625813656,1263,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001295,51.40666746,6.625727825,1264,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001475,51.40611073,6.627731686,1265,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001477,51.40659227,6.626128647,1266,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001293,51.41210086,6.626778832,1267,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001310,51.3964324,6.63603371,1268,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000391,51.41919061,6.595048802,1269,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000392,51.41990776,6.595503855,1270,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000393,51.4167829,6.594400294,1271,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000394,51.41782109,6.594268866,1272,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000395,51.41667704,6.594930114,1273,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000396,51.4168922,6.59417063,1274,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001511,51.4177392,6.594498111,1275,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001512,51.41795771,6.592833633,1276,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001513,51.41688198,6.594516048,1277,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001514,51.4164312,6.594884014,1278,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001515,51.41646875,6.59438068,1279,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000385,51.42485962,6.592808068,1280,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001425,51.42339799,6.593968291,1281,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001426,51.42471621,6.592662055,1282,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001428,51.42178263,6.5929545,1283,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001429,51.42150946,6.593094897,1284,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001510,51.41921793,6.602611039,1285,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001420,51.4230804,6.59941284,1286,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001421,51.42334334,6.599142607,1287,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001422,51.42345599,6.598942867,1288,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001423,51.42384198,6.598271308,1289,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001424,51.42408103,6.598145831,1290,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001427,51.42358918,6.598915542,1291,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001531,51.42283791,6.599826487,1292,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000383,51.42783763,6.596944118,1293,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000384,51.42753705,6.595933679,1294,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001462,51.41834705,6.613754528,1295,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001463,51.41772889,6.612538733,1296,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001464,51.41710058,6.611322518,1297,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000387,51.4255119,6.611808334,1298,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000388,51.42444983,6.612225836,1299,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000390,51.42419024,6.613199981,1300,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001527,51.42521141,6.611877065,1301,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001528,51.42518752,6.611890728,1302,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001529,51.42542993,6.610470917,1303,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001530,51.42557343,6.610874757,1304,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000375,51.44750174,6.600408778,1305,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000376,51.44775781,6.60059955,1306,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000837,51.45166126,6.601484511,1307,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000838,51.45219745,6.602167552,1308,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000839,51.45231698,6.599867893,1309,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000840,51.4522863,6.599891363,1310,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000841,51.45230331,6.599868312,1311,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000842,51.45230331,6.599881975,1312,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000843,51.45224188,6.599901589,1313,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001378,51.44921266,6.600158159,1314,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001379,51.44926052,6.600186741,1315,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001380,51.44928097,6.600015163,1316,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001377,51.44674016,6.603793558,1317,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000374,51.44288792,6.611825852,1318,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000380,51.43852003,6.610228848,1319,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000381,51.43865665,6.61027411,1320,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001352,51.44257033,6.61311591,1321,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001353,51.44259766,6.612973334,1322,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001355,51.44219809,6.613024967,1323,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001357,51.44146727,6.612582738,1324,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001358,51.44053831,6.612771833,1325,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001361,51.43979383,6.612575026,1326,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001362,51.4399509,6.612706957,1327,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001363,51.4400022,6.61273554,1328,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001364,51.43985191,6.613669116,1329,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001367,51.43922352,6.612006817,1330,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001368,51.43929862,6.613187157,1331,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001369,51.43927817,6.613344317,1332,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001458,51.44030269,6.61153215,1333,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001459,51.44073981,6.611710601,1334,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001460,51.44025827,6.611833563,1335,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001461,51.43910056,6.61367381,1336,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000365,51.44796275,6.61222416,1337,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000778,51.44836231,6.613769447,1338,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000779,51.44860824,6.613355381,1339,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001148,51.44871745,6.613413887,1340,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001149,51.4487892,6.613444565,1341,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001173,51.44765882,6.61305489,1342,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001174,51.44688701,6.612914409,1343,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001175,51.44722849,6.61297719,1344,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001189,51.44379292,6.612312505,1345,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001190,51.44796618,6.61311633,1346,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001192,51.44493017,6.612557927,1347,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001193,51.44536042,6.612650128,1348,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001194,51.44569854,6.612697989,1349,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001195,51.44619718,6.612791028,1350,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000175,51.44997767,6.605461808,1351,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000176,51.44955078,6.605168525,1352,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001376,51.44927074,6.606386919,1353,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000171,51.45125147,6.613664422,1354,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000174,51.44961222,6.6099877,1355,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000382,51.4505582,6.609165519,1356,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000776,51.44916144,6.613333588,1357,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000177,51.45897305,6.610847013,1358,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001346,51.42074101,6.616087044,1359,,1,Moers,,Papierkorb,,,,0.5
